22p,2,"C101 C104",kiwi-SM0402
56p/100,2,"C401 C404",kiwi-SM0402
100p,4,"C194 C408 C411 C416",kiwi-SM0402
160p/50,2,"C402 C403",kiwi-SM0402
1n,5,"C407 C409 C428 C430 C432",kiwi-SM0402
1n/100,1,"C405",kiwi-SM0805
10n,8,"C105 C106 C193 C303 C305 C413 C417 C425",kiwi-SM0402
100n,14,"C190 C191 C192 C195 C301 C421 C422 C423 C424 C429 C431 C433 C702 C704",kiwi-SM0402
470n,28,"C1 C2 C3 C6 C7 C8 C11 C12 C13 C15 C16 C23 C24 C25 C26 C30 C31 C32 C33 C36 C37 C38 C39 C42 C302 C304 C410 C414",kiwi-SM0402
470n/100,1,"C406",kiwi-SM1206
1u,7,"C196 C197 C418 C419 C426 C427 C705",kiwi-SM0402
2.2u,3,"C412 C415 C420",kiwi-SM0402
4.7u,11,"C9 C14 C17 C18 C27 C28 C34 C35 C40 C41 C706",kiwi-SM0402
22u,1,"C701",kiwi-SM0805
100u,4,"C5 C20 C29 C703",kiwi-SM1206
DNL 10n,1,"C107",kiwi-SM0402
SR 5A 40V,1,"D701",kiwi-DO214_AA
FPGA FIDUCIAL,2,"FID1 FID2",kiwi-FIDUCIAL
GLOBAL FIDUCIAL,4,"FID3 FID4 FID5 FID6",kiwi-FIDUCIAL
SAW L1,1,"FL101",kiwi-SAW
LOGO,1,"GFX1",kiwi-KIWI_10MM
OSHW,1,"GFX2",kiwi-OSHW_6MM
POWER JACK 2.1MM,1,"J6",kiwi-JACK_2_1MM_TH
SMA,2,"J2 J3",kiwi-SMA_OPL_EM
TB_2,1,"J1",kiwi-TB_2P_2_54MM
DNL U.FL,2,"J4 J5",kiwi-U.FL
39nH,1,"L101",kiwi-SM0402
150nH,3,"L403 L405 L406",kiwi-SM0402
270nH,1,"L402",kiwi-SM0402
330nH,2,"L401 L404",kiwi-SM0402
1uH 3.7A,1,"L701",kiwi-INDUCTOR_4x4
FB 600Z,5,"L102 L103 L104 L407 L408",kiwi-SM0402
0R,1,"R408",kiwi-SM0402
10R,1,"R701",kiwi-SM0402
28R7,1,"R403",kiwi-SM0402
66R5,1,"R402",kiwi-SM0402
100R,2,"R404 R405",kiwi-RNET_CAY16_J8
100R,4,"R101 R102 R103 R401",kiwi-SM0402
5K6,3,"R303 R304 R305",kiwi-SM0402
6K65,1,"R702",kiwi-SM0402
10K,4,"R406 R409 R410 R703",kiwi-SM0402
DNL,1,"R407",kiwi-SM0402
CMC 500uH 1A,1,"T301",kiwi-CMC
TEST_POINT,5,"TP101 TP105 TP401 TP701 TP702",kiwi-TP_600
TEST_POINT,3,"TP102 TP103 TP104",kiwi-TP_VIA_1250
TEST_POINT,2,"TP301 TP402",kiwi-TP_VIA_600
66.6666 MHz,1,"U402",kiwi-XO
Artix-7 A35,1,"U1",kiwi-FTG256
LTC6401-20,1,"U405",kiwi-QFN16
SE4150L,1,"U101",kiwi-QFN24
LTC2248,1,"U401",kiwi-QFN32
NC7SZ125,2,"U403 U406",kiwi-SC70_5
LP5907 3.3V 250mA,2,"U104 U404",kiwi-SOT23_5
LP5907 1.8V 250mA,1,"U702",kiwi-SOT23_5
EEPROM 32Kx8,1,"U301",kiwi-TSSOP8
LMR10530Y 1.0V 3A,1,"U701",kiwi-WSON10
16.368 MHz,1,"X101",kiwi-TCXO
TVS 3.3V,2,"Z401 Z402",kiwi-SOD323
HEADER 13x2,1,"ZB1",kiwi-BEAGLEBONE_BLACK
RF_SHIELD 29x19,1,"ZR401",kiwi-RF_SHIELD_29x19
RF_SHIELD 29x19,1,"ZR101",kiwi-RF_SHIELD_29x19_16P
RF_SHIELD_COVER 29x19,2,"ZR102 ZR402",kiwi-RF_SHIELD_COVER
