DNL no value, 10, , , kiwi-SM0805, C511 C512 C513 C514 C515 C516 C517 C518 C519 R522
DNL 100n/100, 1, Murata, GRM21BR72A103KA01L, kiwi-SM0805, C521
DNL 470n/100, 2, AVX, ESD61C474K4T2A-28, kiwi-SM1206, C504 C505
VIR E_FIELD_PROBE, 1, , , kiwi-E_FIELD_PROBE, EP501
VIR FIDUCIAL, 2, , , kiwi-FIDUCIAL_2_SIDE, FID1 FID2
VIR LOGO, 1, , , kiwi-KIWI_10MM, GFX1
VIR OSHW, 1, , , kiwi-OSHW_6MM, GFX3
DNL BNC, 1, Amp Connex, 112640, kiwi-BNC_SMA_NO_VIP, J10
DNL RJ45, 1, FCI, 54602-908LF, kiwi-RJ45_8, J11
DNL TB_2, 1, TE Conn, 282834-2, kiwi-TB_2P_2_54MM, J12
DNL J310, 1, Fairchild, MMBFJ310, kiwi-SOT23_DGS, Q507
DNL 100R, 2, Panasonic, ERJ-6ENF1000V, kiwi-SM0805, R503 R504
DNL 1M, 1, Panasonic, ERJ-6ENF1004V, kiwi-SM0805, R511
DNL 0R, 2, Panasonic, ERJ-6GEY0R00V, kiwi-SM0805, R513 R518
DNL 47R, 1, Panasonic, ERJ-6ENF47R0V, kiwi-SM0805, R517
DNL T-622, 1, MCL, T-622-KK81+, kiwi-MCL_KK81, T501
DNL T1-6, 2, MCL, T1-6-KK81+, kiwi-MCL_KK81, T502 T504
VIR TEST_POINT, 2, , , kiwi-TP_1250, TP501 TP502
