1n,1,"C211",wrx-SM0402
1n/100,3,"C522 C523 C526",wrx-SM0805
100n/100,6,"C204 C205 C206 C207 C208 C509",wrx-SM0805
470n,1,"C212",wrx-SM0402
470n/100,7,"C201 C203 C214 C501 C502 C506 C521",wrx-SM1206
10u/25,2,"C510 C520",wrx-SM0805
22u/25 TA,1,"C210",wrx-CAP_D
330u/35 EL,3,"C202 C209 C213",wrx-CAP_10x10
DNL,24,"C503 C504 C505 C507 C508 C511 C512 C513 C514 C515 C516 C517 C518 C519 C524 C525 C527 R217 R501 R503 R504 R508 R509 R522",wrx-SM0805
DNL,2,"C215 C216",wrx-SM1206
TVS 25VAC,1,"D202",wrx-SM0805
BR 0.5A 400V,1,"D201",wrx-TO269_AA
E_FIELD_PROBE,1,"EP501",wrx-E_FIELD_PROBE
PPTC 200 mA,2,"F201 F202",wrx-SM1812
75V,2,"G501 G502",wrx-GDT
DNL BNC,3,"J14 J25 J26",wrx-BNC_SMA_NO_VIP
DC JACK 2.1MM,1,"J22",wrx-DC_JACK_2_1MM
DNL RJ45,2,"J11 J23",wrx-RJ45_8
EARTH GROUND,1,"J13",wrx-SCREW_HOLE_#8
TB_2,3,"J10 J20 J21",wrx-TB_2P_2_54MM
DNL TB_2,2,"J12 J24",wrx-TB_2P_2_54MM
0R,16,"L501 L502 L503 L504 L505 R213 R214 R215 R506 R513 R515 R516 R518 R519 R523 R524",wrx-SM0805
100uH,2,"L201 L506",wrx-SM1812
FB 80Z,1,"L507",wrx-SM0805
DNL FB 80Z,3,"L508 L509 L510",wrx-SM0805
DNL BFG31,2,"Q503 Q506",wrx-SOT223_EBEC
DNL BFG35,1,"Q504",wrx-SOT223_EBEC
BFG35,1,"Q505",wrx-SOT223_EBEC
J310,1,"Q501",wrx-SOT23_DGS
DNL J271,1,"Q502",wrx-SOT23_DGS
DNL J310,1,"Q507",wrx-SOT23_DGS
47R,5,"R204 R205 R206 R207 R517",wrx-SM0805
220R/0.5W,1,"R510",wrx-SM0805
680R,2,"R201 R514",wrx-SM0805
1K,2,"R203 R521",wrx-SM0805
1K5,2,"R216 R525",wrx-SM0805
2K2,1,"R505",wrx-SM0805
10K,1,"R507",wrx-SM0402
11K,1,"R520",wrx-SM0805
11K5,1,"R202",wrx-SM0805
1M,3,"R502 R511 R512",wrx-SM0805
CMC 2 mH,3,"T201 T202 T503",wrx-CMC
DNL T1-6,3,"T203 T502 T504",wrx-MCL_KK81
DNL T-622,1,"T501",wrx-MCL_KK81
TEST_POINT,4,"TP201 TP202 TP501 TP502",wrx-TP_1250
TPS7A4501,1,"U501",wrx-SOT232_6
LM2941,1,"U201",wrx-TO263
