item#, quan, DNL, value, mfg, P/N, package, refs, mouser p/n
#1, 4, DNL, (no value), , , SM0805, R212 R214 R215 R217,
#2, 1, , 0R, Panasonic, ERJ-6GEY0R00V, SM0805, R213, 
#3, 4, , 47R, Panasonic, ERJ-6ENF47R0V, SM0805, R204 R205 R206 R207, 
#4, 1, , 680R, Panasonic, ERJ-6ENF6800V, SM0805, R201, 
#5, 2, , 1K, Panasonic, ERJ-6ENF1001V, SM0805, R203 R208, 
#6, 1, , 1K5, Panasonic, ERJ-6ENF1501V, SM0805, R216, 
#7, 1, , 11K5, Panasonic, ERJ-6ENF1152V, SM0805, R202, 
#8, 2, , 1n/100, Murata, GRM219R72A102KA01J, SM0805, C211 C213, 
#9, 5, , 100n/100, Murata, GRM21BR72A103KA01L, SM0805, C204 C205 C206 C207 C208, 
#10, 7, , 470n/100, AVX, ESD61C474K4T2A-28, SM1206, C201 C202 C203 C212 C214 C215 C216, 
#11, 1, , 22u/25 TA, Kemet, T491D226K025AT, CAP_D, C210, 
#12, 2, , 330u/35 EL, Nichicon, UWT1V331MNL1GS, CAP_10x10, C209 C217, 
#13, 1, , 20mH 1A, Bourns, PM3700-80-RC, CMC_22x22, L202, 
#14, 1, , 100uH, TDK, B82432T1104K, SM1812, L201, 
#15, 2, , CMC 2 mH, Bourns, SRF0905A-202Y, CMC, T201 T202, 
#16, 1, , BR 0.5A 400V, Vishay, MB2S-E3/80, TO269_AA, D201, 
#17, 2, , TVS 3.3V, Bourns, CDSOD323-T03C, SOD323, D203 D204, 
#18, 1, , MMBT4401, On Semi, MMBT4401LT1G, SOT23_BCE, Q201, 863-MMBT4401LT1G
#19, 1, , LM2941, TI, LM2941SX/NOPB, TO263, U201, 
#20, 2, , PPTC 200 mA, Bourns, MF-MSMF020/60-2, SM1812, F201 F202, 
#21, 1, , TVS 25VAC, AVX, VC080531C650DP, SM0805, D202, 
#22, 1, , T-622, MCL, T-622-KK81+, MCL_KK81, T203, 
#23, 5, , TB_2, TE Conn, 282834-2, TB_2P_2_54MM, J20 J22 J24 J26 J28, 571-282834-2
#24, 3, , SMA, Molex, 73251-1150, BNC_SMA_NO_VIP, J23 J25 J27, 
#25, 1, , DC JACK 2.1MM, Switchcraft, RASM722PX, DC_JACK_2_1MM, J29, 
#26, 1, , RJ45, FCI, 54602-908LF, RJ45_8, J21, 
