1n/100,2,"C211 C213",kiwi-SM0805
100n/100,5,"C204 C205 C206 C207 C208",kiwi-SM0805
470n/100,7,"C201 C202 C203 C212 C214 C215 C216",kiwi-SM1206
22u/25 TA,1,"C210",kiwi-CAP_D
330u/35 EL,2,"C209 C217",kiwi-CAP_10x10
TVS 25VAC,1,"D202",kiwi-SM0805
TVS 3.3V,2,"D203 D204",kiwi-SOD323
BR 0.5A 400V,1,"D201",kiwi-TO269_AA
PPTC 200 mA,2,"F201 F202",kiwi-SM1812
FIDUCIAL,2,"FID3 FID4",kiwi-FIDUCIAL
LOGO,1,"GFX2",kiwi-KIWI_10MM
OSHW,1,"GFX4",kiwi-OSHW_6MM
SMA,3,"J23 J25 J27",kiwi-BNC_SMA_NO_VIP
DC JACK 2.1MM,1,"J29",kiwi-DC_JACK_2_1MM
RJ45,1,"J21",kiwi-RJ45_8
TB_2,5,"J20 J22 J24 J26 J28",kiwi-TB_2P_2_54MM
100uH,1,"L201",kiwi-SM1812
20mH 1A,1,"L202",kiwi-CMC_22x22
MTG_HOLE 3.5 MM,4,"MTG1 MTG2 MTG3 MTG4",kiwi-MTG_NPTH_3_5MM
MMBT4401,1,"Q201",kiwi-SOT23_BCE
0R,1,"R213",kiwi-SM0805
47R,4,"R204 R205 R206 R207",kiwi-SM0805
680R,1,"R201",kiwi-SM0805
1K,2,"R203 R208",kiwi-SM0805
1K5,1,"R216",kiwi-SM0805
11K5,1,"R202",kiwi-SM0805
DNL,4,"R212 R214 R215 R217",kiwi-SM0805
CMC 2 mH,2,"T201 T202",kiwi-CMC
T-622,1,"T203",kiwi-MCL_KK81
TEST_POINT,2,"TP201 TP202",kiwi-TP_1250
LM2941,1,"U201",kiwi-TO263
