100p, 400, 0.0049 Murata,GRM1555C1H101JA01D Digi-Key,490-5922-1-ND 
1n, 600, 0.0116 Murata,GCM155R71H102KA37D Digi-Key,490-4761-1-ND 
10n, 500, 0.0040 Murata,GRM155R71C103KA01D Digi-Key,490-1313-6-ND 
100n, 1300, 0.0037 Murata,GRM155R71C104KA88D Digi-Key,490-3261-6-ND 
470n, 3300, 0.0153 Murata,GRM155R6YA474KE01D Digi-Key,490-10462-6-ND 
4.7u, 1100, 0.0275 Murata,GRM155R60J475ME47D Digi-Key,490-5915-1-ND 
4.7u, 100, 0.0570 Murata,GRM21BR61C475KA88K Digi-Key,490-7214-1-ND 
100u, 400, 0.3380 Murata,GRM31CR60J107ME39L Digi-Key,490-4539-6-ND 
LMR10530Y 1.0V 3A, 100, 1.1340 TI,LMR10530YSD/NOPB Digi-Key,296-40292-6-ND 
LTC2248, 100, 27.6899 LTC,LTC2248CUH#PBF Digi-Key,LTC2248CUH#PBF-ND 
65.360 MHz, 100, 7.4235 CTS,357LB3I065M3600 Digi-Key,CTX723CT-ND 
RF_SHIELD_COVER 29x19, 200, 0.6955 Laird,BMI-S-209-C Digi-Key,903-1185-ND 
