100R, 200, 0.0960 Bourns,CAY16-101J8LF Mouser,CAY16-101J8LF 
56p/100, 200, 0.0190 Murata,GRM1555C2A560JA01D Mouser,GRM1555C2A560JA01D 
160p/50, 200, 0.0210 Murata,GRM1555C1H161JA01D Mouser,GRM1555C1H161JA01D 
1n/100, 100, 0.0370 Murata,GRM219R72A102KA01J Mouser,GRM219R72A102KA01J 
22u, 100, 0.0860 Murata,GRM21BR60J226ME39L Mouser,GRM21BR60J226ME39L 
470n/100, 100, 0.1820 AVX,ESD61C474K4T2A-28 Mouser,ESD61C474K4T2A-28 
39nH, 100, 0.0300 TDK,MLK1005S39NJ Mouser,MLK1005S39NJ 
150nH, 300, 0.0750 TDK,MLG1005SR15J Mouser,MLG1005SR15J 
270nH, 100, 0.0750 TDK,MLG1005SR27J Mouser,MLG1005SR27J 
TVS 3.3V, 200, 0.4120 Bourns,CDSOD323-T03C Mouser,CDSOD323-T03C 
SAW L1, 100, 0.7310 RFM,SF1186G Mouser,SF1186G 
BEAGLEBONE_BLACK, 200, 2.9300 TE Conn,6-146253-3 Mouser,6-146253-3 
RF_SHIELD 29x19, 200, 1.0200 Laird,BMI-S-209-F Mouser,BMI-S-209-F 
