22p,2,"C101 C104",wrx-SM0402
56p,2,"C401 C404",wrx-SM0402
100p,4,"C194 C408 C411 C416",wrx-SM0402
160p,2,"C402 C403",wrx-SM0402
1n,6,"C405 C407 C409 C428 C430 C432",wrx-SM0402
10n,6,"C105 C106 C107 C193 C413 C425",wrx-SM0402
100n,14,"C190 C191 C192 C195 C301 C421 C422 C423 C424 C429 C431 C433 C702 C704",wrx-SM0402
470n,27,"C1 C2 C3 C6 C7 C8 C11 C12 C13 C15 C16 C23 C24 C25 C26 C30 C31 C32 C33 C36 C37 C38 C39 C42 C406 C410 C414",wrx-SM0402
1u,7,"C196 C197 C418 C419 C426 C427 C705",wrx-SM0402
2.2u,3,"C412 C415 C420",wrx-SM0402
4.7u,11,"C9 C14 C17 C18 C27 C28 C34 C35 C40 C41 C706",wrx-SM0402
22u,1,"C701",wrx-SM0805
100u,4,"C5 C20 C29 C703",wrx-SM1206
SR 5A 40V,1,"D701",wrx-DO214_AA
SAW L1,1,"FL101",wrx-SAW
SMA,1,"J3",wrx-SMA_EM
TB_2,1,"J1",wrx-TERM_BLOCK_2
DNL U.FL,1,"J4",wrx-U.FL
39nH,1,"L101",wrx-SM0402
150nH,3,"L403 L405 L406",wrx-SM0402
270nH,1,"L402",wrx-SM0402
330nH,2,"L401 L404",wrx-SM0402
1uH 3.7A,1,"L701",wrx-INDUCTOR_4x4
FB 600Z,5,"L102 L103 L104 L407 L408",wrx-SM0402
FPGA FIDUCIAL,2,"M1 M2",wrx-FIDUCIAL
GLOBAL FIDUCIAL,1,"M3",wrx-FIDUCIAL
0R,3,"R306 R307 R408",wrx-SM0402
0R,1,"R308",wrx-SM0805
10R,1,"R701",wrx-SM0402
28R7,1,"R403",wrx-SM0402
66R5,1,"R402",wrx-SM0402
100R,2,"R404 R405",wrx-RNET_CAY16_J8
100R,4,"R101 R102 R103 R401",wrx-SM0402
5K6,5,"R301 R302 R303 R304 R305",wrx-SM0402
6K65,1,"R702",wrx-SM0402
10K,4,"R406 R409 R410 R703",wrx-SM0402
DNL,1,"R407",wrx-SM0402
DNL,1,"R309",wrx-SM0805
TEST_POINT,1,"TP301",wrx-TP_VIA_BOT
65.360 MHz,1,"U402",wrx-VCXO
Artix-7 A35,1,"U1",wrx-FTG256
LTC6401-20,1,"U405",wrx-QFN16
SE4150L,1,"U101",wrx-QFN24
LTC2248,1,"U401",wrx-QFN32
NC7SZ126,1,"U406",wrx-SC70_5
LP5907 3.3V 250mA,2,"U104 U404",wrx-SOT23_5
LP5907 1.8V 250mA,1,"U702",wrx-SOT23_5
EEPROM 32Kx8,1,"U301",wrx-TSSOP8
LMR10530Y 1.0V 3A,1,"U701",wrx-WSON10
16.368 MHz,1,"X101",wrx-TCXO
TVS 40V,1,"Z401",wrx-SM0402
BEAGLEBONE_BLACK,1,"ZB1",wrx-BEAGLEBONE_BLACK
RF_SHIELD 29x19,1,"ZR401",wrx-RF_SHIELD_29x19
RF_SHIELD 29x19,1,"ZR101",wrx-RF_SHIELD_29x19_16P
RF_SHIELD_COVER 29x19,2,"ZR102 ZR402",wrx-RF_SHIELD_COVER
